	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12
1985	59,27085896	53,54547156	48,08473526	81,48336592	122,4334202	127,2871501	78,49573373	151,4968901	55,96995374	19,19317406	101,5982535	70,38998751
1986	140,7961883	20,03502831	66,08843868	72,16787429	196,6423952	80,79958012	90,229984	154,4709352	25,81238861	89,77603282	36,12851931	140,4562038
1987	100,8636907	79,65517137	94,09928256	73,14634387	168,4720461	143,5039034	146,6865579	105,6280179	104,6772075	28,09929632	57,73067755	75,49713811
1988	54,8448549	116,2362025	173,8214592	62,29281015	80,24740457	141,8433169	154,8705056	114,864354	66,52212403	54,7249343	79,61845757	154,1452401
1989	45,09115547	48,47836511	62,40439307	108,1266376	58,16579042	126,9149851	139,223105	104,7539648	112,7223897	59,49592444	50,9719795	68,03464923
1990	30,19905112	95,84593864	48,23660996	91,51792567	60,75572986	142,7097309	59,58652866	85,48164592	92,4551495	55,43183355	102,7505448	66,24889429
1991	33,62798542	26,23367412	46,04768844	64,12100826	79,84256333	159,0328191	91,68959055	103,3020084	38,29765376	33,41221736	77,94356345	111,7446432
1992	44,40474806	58,26783021	111,9713836	80,00564842	25,35629332	125,0991827	103,1885211	43,06602138	79,93077911	108,0419991	97,25284358	54,79861062
1993	83,02497784	51,45215827	34,33036682	47,25694993	93,93024594	135,4164984	168,707386	72,39246478	56,99109845	64,46885254	43,88809706	151,4058098
1994	83,79888898	39,07728259	100,6345761	90,88325863	91,44878284	65,3758044	61,17153675	153,8705767	91,41039742	56,19908185	57,96146301	89,72834839
1995	126,6379351	59,34977535	113,4543459	115,7641499	120,0552005	186,5107995	119,7285547	132,080565	145,4334183	22,57156248	90,44980469	76,1108291
1996	20,47085785	40,89927776	39,91889843	53,36427218	132,7667303	115,3974554	136,9299765	148,4928067	80,6283934	95,93987458	78,42851004	44,19850785
1997	16,54410399	94,20228068	92,61322145	93,49155924	63,47632297	92,20074991	171,1740462	106,3857071	33,71715415	75,03414065	38,91539925	80,463409
1998	52,50453852	25,7472995	97,09787395	58,80546442	60,74952956	150,0334741	111,5927676	52,43587622	152,0605018	165,9460067	91,48931237	43,02597055
1999	64,88370767	123,1267494	59,3573999	71,8655581	104,0539694	97,82457602	108,0544093	93,497752	72,34502506	38,39111289	52,61826508	108,7508222
2000	76,81107469	78,30572211	173,5272445	44,70181252	110,2876695	63,66920372	161,8795368	86,54236492	68,97401429	97,41473061	42,70529832	41,04137374
2001	56,93721769	55,77754705	132,0540832	108,2761312	61,92016394	118,1452203	98,78873549	122,8461197	138,2369943	36,00406773	98,60945804	121,9396559
2002	42,90437932	139,7624047	90,54112384	60,74142676	105,1130284	106,7066146	133,5387257	312,9749326	108,9417926	114,648343	132,9288518	80,50154922
2003	100,0132599	29,75225506	25,3658289	51,46932954	106,2536174	60,04333593	122,6360799	27,21739045	56,56123854	89,37977959	26,23295709	62,92819686
2004	119,8580181	77,08216401	75,61969955	50,44841818	106,9474189	119,1058132	118,325474	83,4946626	80,25454386	61,85293296	107,8085895	43,52593297
2005	110,5530195	102,6635177	55,0985319	89,23197914	116,2693468	82,63062785	170,7506381	106,5526096	81,10284953	24,47556906	46,90885497	86,85540768
2006	45,71747869	74,77140122	113,7475933	104,5608525	144,7978108	103,4450466	96,04692711	150,4223322	40,04097089	38,01798975	62,97159763	31,10265858
2007	137,7887727	73,42719849	72,46971377	12,40205845	135,6077171	138,531688	135,055542	121,4509043	129,5342531	47,37949047	129,8267911	63,45820869
2008	52,77562158	44,23093345	142,3323234	109,2567467	82,83495789	93,16920691	108,6340024	92,65971903	77,08597649	70,69825615	54,81766938	63,6625237
2009	30,21454879	89,46490054	109,465599	97,82600458	132,0002064	155,939574	168,4398712	82,53621545	55,74226261	86,87258125	53,32708103	80,72089856
2010	66,75863421	45,05204939	63,32063722	34,05332474	141,7803659	120,3560842	146,6174026	177,2899655	60,08291463	24,59573661	92,7951369	102,1370916
2011	76,45154249	24,94478322	35,53009094	37,2290597	87,94308501	121,797085	157,9427665	117,6519506	86,75385115	87,92877259	2,396344644	112,3013584
2012	149,1627705	53,48515485	27,00567262	80,44267297	71,55656942	117,2533084	158,7867716	108,493325	49,04937732	62,23558804	64,57329262	110,1953993
2013	100,2235469	74,01371225	38,11264037	64,63765749	181,3349741	184,8492616	52,481175	121,4451859	101,021534	50,12941535	61,42186931	31,28576292
2014	39,39151687	14,86349161	39,49451287	78,52172535	152,4028744	51,17177675	191,584573	134,325273	119,7664812	90,83366782	26,63945696	66,12157871
2015	95,42703411	17,44890253	69,50616567	59,83686047	90,07740703	117,7158369	42,43183084	57,55185667	57,31964036	59,68475544	112,4925536	32,98997944
2016	80,40713847	96,06647012	62,99114073	48,99597284	106,1825825	165,2865483	134,990204	63,12131888	83,76837278	79,6351418	59,22698926	43,62773946
2017	57,57713385	41,6378984	76,30538779	122,2057306	72,41439915	79,27942365	110,0711866	79,48494458	78,01342457	92,6175108	99,15924346	90,0914713
