	SM1	SM2	SM3	SM4	SM5	SM6	SM7	SM8	SM9	SM10	SM11	SM12
1985	13,42089	14,88377	23,85146	32,26987	32,52388	32,09176	29,65189	32,2108	31,25816	30,12513	31,50893	29,06755
1986	16,00078	13,10665	25,06997	32,39239	32,80842	32,3821	29,73748	31,65059	31,32023	31,48355	31,89895	17,79556
1987	16,0927	14,19628	17,10988	33,30102	33,31003	33,95594	32,34592	32,8552	32,53686	31,84144	31,4211	17,91909
1988	19,44697	21,71232	18,8579	32,64979	30,01144	32,03311	32,30891	31,51346	32,51776	31,91624	27,67158	30,79743
1989	15,70365	24,67594	32,77232	33,0815	30,87466	30,58064	31,48408	31,16473	32,47229	32,2946	25,83582	22,37966
1990	16,21902	29,24299	32,36728	32,74411	30,34085	31,35296	27,50256	24,39889	30,01319	31,2684	31,98768	18,30604
1991	21,73104	14,80993	31,02913	32,02951	32,51902	31,82209	30,32551	30,78778	28,37544	29,71748	31,45325	16,68531
1992	14,74892	17,39167	32,52131	32,24894	28,46034	30,67301	30,14997	22,1233	25,81066	30,48105	32,53837	18,70434
1993	21,98461	15,9949	26,17737	31,23607	29,30644	30,91019	31,56588	28,95745	31,5586	31,97556	26,27812	24,66102
1994	20,33413	17,30307	32,8892	32,55173	30,72534	27,98832	22,55889	21,97548	28,17333	29,79279	31,59797	23,39054
1995	17,5602	29,02091	31,71099	33,12955	31,64703	33,49883	27,83762	26,6751	32,89705	31,33417	28,87732	16,15367
1996	15,74244	15,35375	19,25058	30,61297	33,53919	31,32104	31,79711	31,85971	32,88303	33,15035	29,42035	14,6704
1997	14,22305	20,37235	33,05505	32,58643	30,46116	28,91695	32,89518	30,80167	29,01233	30,95658	25,09649	16,42644
1998	19,86752	25,50909	32,01485	31,78993	29,41858	31,54472	31,03468	26,82172	32,82895	33,90638	27,40995	17,22114
1999	16,82852	14,32024	30,25303	32,8748	32,13921	31,26981	30,42971	27,46659	29,10766	31,50563	24,53193	22,23194
2000	15,98554	27,80014	33,71976	32,3794	30,59137	27,68447	27,7662	28,66438	30,36473	32,62674	32,12536	23,64996
2001	12,96074	17,22046	31,88354	33,30726	30,87695	30,99385	30,21493	29,8558	33,46754	31,65182	25,69588	14,57082
2002	14,36944	31,89967	32,91716	31,97371	30,98273	29,86701	29,29695	33,92285	33,23648	33,62682	34,42137	16,94304
2003	13,90891	11,98337	27,98732	29,86737	29,29772	24,99711	21,1522	17,26217	21,90009	28,92364	29,55082	20,05936
2004	15,05303	20,55818	25,40734	31,63589	30,91726	30,25626	27,66404	22,92172	24,57062	30,90165	31,54356	16,96528
2005	19,59948	14,75933	22,92577	32,06733	31,83009	29,05936	31,4907	32,01311	31,01341	31,01308	27,41266	25,13239
2006	29,75697	28,74713	33,2225	34,15704	32,10308	30,2971	28,36377	31,89838	28,84793	30,39731	32,06017	24,69215
2007	29,47247	33,6652	32,86578	29,12768	29,51705	29,79823	28,3315	28,17641	32,39148	32,31777	27,62614	19,98571
2008	19,12777	25,87014	32,98405	33,39298	31,95903	31,4713	28,06026	27,67153	30,77232	31,61131	31,95677	19,33373
2009	12,77316	12,73164	24,61998	31,39246	31,74192	32,44814	32,92546	28,78366	29,26063	32,28228	32,6453	18,93938
2010	13,58389	13,45879	22,93936	31,90581	32,75653	31,80693	30,34897	33,1437	32,2016	31,71606	30,35213	25,35756
2011	32,56622	29,07484	29,47561	31,12841	29,85682	30,45937	29,52982	30,85947	28,94026	31,40269	28,42691	24,26926
2012	18,73425	14,73778	30,57161	31,7005	28,33006	29,38039	31,50587	26,95481	30,18799	31,43367	32,35362	18,82377
2013	20,66721	15,04469	21,44963	31,53198	33,09289	33,06205	26,80276	27,71535	31,71531	32,01391	29,5775	15,95908
2014	16,34979	23,83829	31,28742	31,36079	32,59564	27,99166	30,84821	32,45929	33,45406	32,67122	31,77926	26,34638
2015	19,86147	17,89649	31,51226	31,86015	31,52643	30,59918	23,45873	21,58032	24,356	30,35249	29,51591	31,58389
2016	15,14415	31,43398	32,52687	32,42382	30,09649	32,922	31,4144	30,10538	29,34171	32,79123	29,60334	16,26648
2017	17,98674368	20,27313135	32,90599718	32,00569423	31,64431557	29,11763474	24,57386722	28,67748487	30,57595369	31,40718663	30,36993726	20,62175513
