	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
1985	-1,704222192	-1,347855837	-1,090949566	-0,437052213	-0,013657969	0,43477158	0,08127124	0,355115925	0,007148621	-0,643713987	0,501012831	-0,315578366
1986	0,977345113	1,186312671	0,286128715	0,48096542	0,534669833	0,583746838	0,234502104	0,644025069	-0,666012831	0,092077451	0,021381954	0,338800192
1987	1,251703948	1,527106159	1,99822941	1,3325795	1,702643378	1,727037995	1,536497209	1,522545164	0,90103382	0,197369365	-0,237473917	-0,363937666
1988	-1,001566551	0,365999193	1,879252934	1,9074321	1,567736048	1,263969734	0,311184445	0,35953082	0,706295519	0,289964092	0,192059682	1,141263721
1989	0,894310826	0,927338096	0,110790874	-0,58481967	-0,814844784	-0,215252046	0,318827931	-0,230053016	0,751807172	0,534206799	0,329616378	0,331886612
1990	-0,878554849	-0,615090038	-0,937290008	-0,512832332	-0,569530453	-0,411378642	-0,588995747	-1,068507958	-0,342293166	-0,703015728	0,438322629	0,798777595
1991	-0,195094804	-0,760055532	-1,603750946	-1,623040515	-0,942152418	0,312994292	0,239141155	0,024216416	-0,447049777	-1,22833347	-0,789453017	-0,106763453
1992	0,137073527	0,360749065	0,747136924	0,403724687	-0,524822283	-0,360735052	-1,146364573	-1,725011976	-1,135027917	-0,594747158	0,0388099	1,020491525
1993	1,056501039	0,126632366	-0,711298457	-1,060830078	-1,379733111	-0,958163448	0,224775711	0,1148872	0,264704195	0,183737441	-0,74183337	0,79616589
1994	1,039878057	0,833166289	1,058202021	0,383735766	0,039069732	-0,473547921	-1,59745377	-1,218290934	-1,037052328	-0,377900466	0,481256524	0,157054438
1995	0,743459991	0,569895017	1,423968711	1,875286429	1,233324118	2,009322085	1,370289975	1,04313121	1,743710578	0,378882284	1,093554713	0,95261308
1996	-0,949009702	-0,615571812	-1,188959251	-1,561141132	-0,276143538	-0,070669607	0,458602016	1,005553379	0,971286383	1,318923696	1,339198439	0,586230692
1997	-0,606619469	-0,879865126	-0,673046061	0,329970022	0,422746311	-0,310047959	0,264202824	-0,364569172	-0,337267086	0,315954988	-0,796909565	-0,655898558
1998	-0,268050077	-1,387878294	-0,509026333	-0,960416346	-1,269139667	-0,310723493	-0,676244127	-0,980132351	0,374679302	1,227481056	1,772668086	2,076367453
1999	1,371748885	1,143931373	0,158104829	0,601286625	0,497187973	-0,619700236	-0,604204164	-0,702775428	-0,805510079	-0,855753016	-0,858804369	-0,116121838
2000	0,241897856	0,804733952	1,959320225	1,184248497	0,867104067	-0,17601634	-0,741520343	-0,590823327	-0,588976624	0,52564934	-0,538503756	-0,665258273
2001	-0,770606891	-1,379730015	0,042290516	1,235569059	0,534799649	0,730651676	-0,346565118	-0,731462788	0,71860004	0,202114196	1,031906484	1,546072517
2002	0,322055291	2,213485989	1,443227861	0,738968014	0,841514833	-0,428845402	-0,487032632	1,748594087	2,332868738	2,479106646	2,893986528	1,919502047
2003	1,844111843	1,222298011	-0,650376686	-1,129132768	-1,552044525	-2,145820196	-1,468639924	-1,807281414	-1,946122492	-0,999611638	-1,764694826	-0,460619121
2004	0,594221237	0,102853116	0,975261335	0,796452598	0,171837521	0,02068061	-0,15706576	-0,284193664	-0,351431377	-0,374881559	0,177009764	0,249984866
2005	0,731064813	1,727311633	0,715449417	1,341768506	0,791614867	-0,378625691	0,31756857	0,121953197	0,050056945	0,122262515	-0,697025292	-0,648739065
2006	-1,025748511	-0,236033768	0,903774222	1,25663335	1,773594501	1,314827565	0,014531772	0,146252163	-0,786923941	-0,892323795	-0,555146102	-2,34044096
2007	-0,641335956	-0,189542545	-0,022205079	-0,516383416	-0,925617513	-0,799374796	-0,483897624	0,514925877	1,043695319	0,885066214	1,607200167	1,500439359
2008	0,485582701	0,182553804	0,238975429	0,975591772	0,765717288	0,592100454	-0,567980845	-1,052732246	-0,724163015	-0,150419377	-0,16727026	-0,045027834
2009	-0,846965177	-0,684415126	0,295761864	0,465819813	1,198292343	1,278176175	1,259665928	0,713806713	0,211612036	0,154045212	-0,770819165	-0,136131426
2010	0,20751258	-0,659978068	-0,247910569	-1,083175682	-0,240659326	-0,060791392	0,124227872	1,265228526	0,744551272	0,514850536	0,77368851	0,284350729
2011	0,438844975	0,338807959	-0,627787275	-1,854920412	-2,02461523	-1,593219818	-0,382028074	0,175535835	0,519555323	0,887128867	-0,395735108	0,041138364
2012	1,039439724	0,669114667	0,688885423	0,302484541	-1,431499081	-1,409596165	-0,172063232	-0,371566058	-0,191094039	0,035635106	-0,530624109	0,154822277
2013	0,92687753	1,342846289	0,942388235	0,274465062	0,970390106	1,46796624	0,669715111	0,685672497	0,104925453	-0,752244664	0,219629665	-0,600688494
2014	-1,591904297	-2,022964181	-2,430574397	-2,126424396	-0,848588321	-1,029216563	0,413676145	0,735519066	0,644561622	1,516734232	0,612819756	-0,00491193
2015	-0,314315067	-1,368523724	-0,611916102	-0,700014193	-1,119735074	-0,552731828	-1,583967206	-1,732200716	-1,822369011	-2,046393583	-0,780416965	-0,545174599
2016	-0,133645558	0,186573997	-0,432583338	0,068112697	-0,108208555	0,099149165	0,219219367	-0,170200189	-0,204173877	-0,321662281	-0,517112818	-0,255768617
2017	-0,364019275	-1,236127049	-1,16619778	0,104777256	-0,325557996	-0,740170138	-0,788964787	-1,483204107	-1,138022022	-0,266791527	0,385713711	1,13696189
