	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
1985	4,153424431	7,542653977	10,8630488	15,63889777	17,41451339	18,44447291	20,24826275	16,14027066	11,87635992	7,967508275	3,866559735	2,755919522
1986	3,719925772	7,918523567	10,28419683	15,89406647	18,22388164	18,79857152	17,68184824	16,22511346	12,40590703	8,099094648	4,400589102	2,992198703
1987	3,801246791	5,614321315	11,35897895	16,20462312	16,14315211	17,13917451	18,7937691	14,5394632	11,7950389	8,037623642	3,843828269	2,78985664
1988	3,879366195	6,688463118	9,382942228	17,55090219	20,58827426	17,5275304	18,8802127	16,50973702	10,46572839	7,793020263	3,832622617	2,334587
1989	4,252354332	6,956118125	11,08940298	14,04609435	20,02639084	18,6781908	17,90211935	15,39525487	10,55473329	8,172091468	4,941341861	3,568809548
1990	3,948841238	7,657912113	10,93508514	14,94158604	21,4866474	17,75580554	19,21830324	17,6738442	10,47181146	8,969613743	3,304035995	2,926885759
1991	4,373695537	8,158324524	10,40937997	16,62435483	16,05446738	18,36859464	18,90678611	16,45370876	12,21316981	8,306239133	4,001347723	3,202544803
1992	3,807970182	6,701269578	11,13358526	15,17754506	21,25421016	18,97177889	19,52950021	18,35290673	12,24678677	6,719198621	3,280344045	3,345016666
1993	3,576813586	7,915642114	12,37325056	17,38025612	20,00974244	18,52195199	17,21921489	17,95174438	12,01146807	7,495270076	4,475506891	2,620491212
1994	3,668059611	7,378731293	9,873749794	15,08053612	19,3524509	19,81284313	22,34916246	17,58515947	11,4159677	8,858837867	3,713202381	2,822513113
1995	3,843828269	5,564376123	11,27253535	14,00511368	19,62426801	16,73288958	21,09989232	16,49148782	11,70667433	8,536435245	4,31638663	3,071598753
1996	4,417557661	7,764205729	12,25927306	16,58273384	15,70325022	20,78965583	17,99944844	14,99249171	9,321471222	6,831575305	4,035284841	3,530390169
1997	4,416277016	6,813005938	9,949628067	16,01540768	21,03329873	19,67933578	16,82989851	17,25603346	14,22762591	7,924606636	4,653196519	2,800742131
1998	4,225780928	6,862951131	11,3685838	15,69972845	20,335987	18,53123668	15,76536155	17,67448453	9,882394154	5,394690532	3,919386381	3,13338992
1999	4,107321177	5,392769564	10,78588988	15,57838724	18,56421331	18,22580261	18,59142704	15,74327041	12,9665098	7,41875148	4,218097052	2,86925669
2000	3,632521685	6,334684671	10,03447086	17,19552294	20,37184509	22,96003058	16,39191759	17,63830628	11,81264778	6,459867814	4,501760134	3,447148182
2001	3,933153325	7,261232026	9,235027619	15,02290706	20,3526354	18,19826873	18,82706589	16,68934762	9,132896103	8,131110797	3,795483884	3,211509324
2002	4,148622009	6,020606248	12,08830683	16,06567303	17,72442972	21,21611094	18,04587186	15,46056781	11,36314105	6,329241925	3,553121635	2,615368628
2003	3,547999051	8,613274003	12,57495229	18,77680054	19,64155673	23,31573	20,50343146	20,18615142	14,49303979	7,034877852	4,510404494	3,463796579
2004	3,688870108	6,904892286	11,15215463	17,54193767	18,73197793	19,64667931	19,57720427	17,46285778	12,95114205	7,907317915	3,701676567	3,439784467
2005	3,733372555	6,747692994	11,91093736	15,81978901	20,10002798	21,64896928	18,05035412	15,69972845	12,82948068	8,982100041	4,491835127	2,578550056
2006	4,662801364	6,88216082	10,30340651	16,02917462	19,65244222	21,5647668	23,09097663	15,20988137	14,34224373	8,63184337	4,269643053	3,256011772
2007	2,949937386	6,603620323	12,11488023	20,46533224	19,39695335	21,31920294	19,9501924	16,06887465	10,66422852	7,398581306	3,737214493	3,180773821
2008	3,548959536	7,470937803	11,08075862	16,17965052	20,21656677	20,4349169	18,64809562	16,29074656	11,17456593	7,165183579	4,399308456	3,099132641
2009	4,13389458	6,075994186	10,02422569	18,92151353	18,23348649	18,96409501	19,87559478	17,9773573	11,89909139	6,867433392	4,545622258	2,68036141
2010	3,661656381	6,795076895	11,69450819	18,15408644	14,62558665	18,59783027	20,36864347	14,59805276	11,59045571	7,815111406	3,935714617	2,999562417
2011	3,673182195	7,425795032	12,92777026	18,06604203	21,57917407	19,47059049	17,75484506	16,64580565	12,08958747	8,175933406	5,477612359	2,652187199
2012	3,793562915	6,644600994	12,48146514	16,31091673	20,83223731	19,23078953	19,34348638	18,37883981	12,31498116	7,691208909	4,119487313	3,12890766
2013	2,911838169	5,948890074	11,46623305	14,60125437	15,83387611	19,13506125	22,40391007	17,54994171	10,8880214	8,059394623	3,756424182	3,265296455
2014	3,645648306	7,754280722	12,88967104	16,70439521	16,98485667	22,46794237	19,47475259	15,4266307	11,13550623	7,60124353	4,503360941	2,612487174
2015	3,287387598	7,855131592	11,7783905	18,05611702	17,46317794	19,03100876	21,8948533	18,59238752	11,98681564	6,912576162	4,472945599	2,94641561
2016	3,817575027	6,097445006	11,2920652	16,41496922	19,39823399	19,36301623	19,42288643	17,45069164	13,51238514	6,534785602	4,142218779	2,990277734
2017	4,571235177	7,258990895	11,45598788	14,70018427	20,44868385	22,87358698	20,0100626	17,72571036	10,78749069	7,031035914	4,027280804	2,829876827
