	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
1985	-6,6703	-4,976	2,6982	7,4448	13,4	13,2586	17,6241	16,6928	13,5728	7,616	0,148	2,7437
1986	-0,9213	-7,1243	2,6558	7,7968	14,7955	15,291	16,5987	16,8253	12,1408	8,8731	4,0636	0,1402
1987	-6,4506	-1,6865	-2,6121	8,4694	10,1088	14,5895	17,4842	15,5092	15,4318	8,9518	3,656	0,7268
1988	1,6198	0,8423	1,458	7,6931	13,9261	14,6564	17,1788	16,979	12,9554	9,7431	0,8127	1,3565
1989	0,3238	2,6133	6,291	7,7738	12,9286	14,271	17,3764	16,8016	13,7051	9,4584	0,9679	0,1221
1990	-0,4351	4,1015	6,3394	6,4616	13,4801	15,0128	16,3033	18,041	11,072	9,0918	3,0798	-1,9499
1991	0,2478	-4,2625	5,1912	6,3269	8,6509	13,8984	18,4994	17,4834	14,4331	7,2758	2,3244	-2,4088
1992	-0,4942	1,216	3,19	6,6038	13,7899	16,2674	18,4458	20,665	13,3813	6,5424	4,2584	-0,7887
1993	1,0556	-3,3798	1,9391	9,7048	14,7508	15,3245	15,9309	16,8279	12,604	8,0827	-0,6565	2,2808
1994	1,7757	-0,3426	6,3663	7,1677	12,8203	16,4487	21,311	18,4217	13,8562	6,911	6,5442	1,8483
1995	-2,3406	3,4768	2,1948	8,2431	12,5201	14,0037	19,9469	17,0397	12,1125	11,0034	0,5991	-2,0291
1996	-3,5788	-4,117	-0,7333	7,4377	12,2453	16,2031	15,6421	16,2752	10,0669	9,0161	4,1662	-4,0344
1997	-3,4329	2,4509	5,1575	5,2321	13,282	15,8418	16,463	18,4551	13,6186	6,4867	3,2432	1,2943
1998	0,3595	2,2397	3,6978	9,17	13,6847	16,8909	16,8986	17,6217	12,7765	8,875	0,2367	-1,0619
1999	0,3101	-2,0967	4,6082	8,1206	13,9871	15,0946	18,4891	17,0694	16,1667	8,4086	1,484	-0,0507
2000	-2,2944	2,3117	3,7469	10,1602	14,6839	17,3889	15,2987	18,4697	13,3709	10,5417	5,0152	0,9296
2001	-1,881	0,6575	4,2995	6,5509	14,7385	14,1469	17,7872	18,2811	11,0421	12,0014	1,7514	-2,9667
2002	-1,565	3,8002	4,0734	7,3213	14,7283	17,8451	17,8792	18,1334	11,837	7,6445	5,0063	-0,2321
2003	-2,2597	-4,0935	4,2934	7,453	14,8775	19,8179	18,4984	20,9157	13,6516	5,1891	4,703	-0,6027
2004	-2,8822	0,7933	1,9749	8,5604	11,3241	15,3665	17,1776	18,1635	13,4579	9,8206	3,0827	-0,7867
2005	-0,0815	-3,2934	1,6019	8,7093	13,1573	16,5781	17,9571	15,7556	14,5404	9,8881	1,8076	-1,7233
2006	-5,1478	-2,1633	0,7103	7,3066	12,8559	17,0567	20,9525	14,8606	16,1378	11,1383	5,6304	2,7112
2007	3,4773	3,3681	5,153	11,1428	14,1581	17,6923	17,6203	16,9503	11,7181	7,4384	1,1403	-0,3525
2008	1,6245	2,7535	3,0483	7,7138	14,0105	17,4949	17,7655	17,4592	11,9545	8,5765	4,2236	0,3557
2009	-3,4733	-0,9848	3,274	12,2877	13,6688	14,9571	17,9127	18,619	14,7296	7,5248	6,1983	-0,4936
2010	-4,1246	-1,2301	3,1169	8,3923	11,3738	16,5705	19,8391	16,7589	11,6208	6,9358	4,9087	-3,8991
2011	-0,5844	-1,1545	4,6812	10,8581	13,7021	16,4985	15,883	18,2179	14,9658	8,1962	3,1962	2,4914
2012	0,5007	-4,5687	5,9687	8,4288	14,2729	16,8594	17,9558	18,4113	13,6101	8,0123	4,7116	0,0878
2013	-0,3888	-1,1742	0,3571	8,0983	11,6883	15,8349	19,9532	18,1128	12,7322	9,5354	3,8863	1,5333
2014	1,2776	3,0223	6,5223	10,1952	12,0153	16,5699	18,854	15,7913	14,273	10,917	5,9543	1,8656
2015	1,1186	-0,3916	4,309	8,1334	12,8372	16,3205	20,601	21,1953	12,9309	8,0229	6,2476	5,0868
2016	-0,3234	2,9509	3,0966	7,989	13,2531	16,9215	18,762	17,6145	16,2147	7,8497	2,6735	0,2003
2017	-5,5007	2,1264	6,3875	6,8892	14,1433	18,4447	18,5589	18,8722	11,7951	10,2144	3,8785	0,7671
