	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12
1985	40,03024004	35,7389449	42,78731829	45,71247117	62,86048762	77,54396891	62,82330098	92,04243881	23,39124679	7,80320184	54,32009566	54,79502805
1986	62,40820927	22,16315219	42,40703803	39,76297852	106,6458259	34,85178821	44,28457991	101,2062915	43,2133631	66,03955673	30,00140255	88,4954942
1987	71,48623008	50,28319463	40,99559812	57,37686657	67,7242341	95,60108277	101,9642442	119,034519	61,69032967	21,05665273	49,79801171	52,28900466
1988	38,49506488	65,84501265	77,14343141	16,92009004	33,42199382	74,29505145	109,2250335	64,88680918	47,28126811	32,52625243	56,55050176	85,30665121
1989	19,17576846	27,63128307	48,73275534	57,90519958	29,70576345	56,54239665	56,53858078	47,56951285	86,44890694	29,50620664	57,05786153	45,33600752
1990	19,64569122	45,70722968	28,20968612	60,80365286	15,86675607	72,43824336	20,37739729	56,88905808	47,63722458	45,11261282	74,32937707	35,96663368
1991	28,39708212	19,39153694	30,81178673	38,24520136	56,52522974	113,1587034	34,44004037	44,55661702	28,27024615	17,81344367	52,75273455	70,28269315
1992	41,24188366	34,25192888	75,875286	41,59593661	22,7179528	70,79410849	102,5939012	42,62400199	28,10811966	65,1946049	41,91255465	34,42240066
1993	38,75112598	33,95652805	18,25237243	25,18940071	45,71676245	100,1958769	113,9631266	42,69623759	71,61474551	45,50958102	53,46751042	90,70157134
1994	52,19221162	24,8661042	89,55622223	55,34553889	61,53869709	34,90018794	34,53826416	108,0970804	51,36656756	26,52764288	32,17863963	63,87138628
1995	57,75928494	41,51272766	52,43825796	77,33774216	82,47756685	117,1848702	68,14813444	65,83214073	97,17893715	15,20848366	62,26778677	46,06914521
1996	9,210108853	29,02603106	32,63044299	27,02522304	76,39837608	56,11658534	94,95211385	71,0854608	48,75898278	38,56062826	36,75150969	37,46080122
1997	23,67138901	53,59196442	38,74731145	56,46324145	46,38862571	68,83574074	142,2953584	44,9390447	23,75221272	48,38252407	28,21826938	58,86650111
1998	35,64143187	17,52376494	68,35651791	28,11431771	27,67944236	95,8318673	87,10861134	33,06531932	105,6275344	107,7458848	52,73032065	28,03802437
1999	34,43288569	62,46805179	39,18480977	49,41511202	53,92599073	101,1614782	62,59394176	34,30557199	47,05333926	28,45048852	31,32653544	38,3591652
2000	56,76531857	60,17089064	124,2363496	21,17133087	51,06544873	31,37493227	109,6477492	60,18257157	52,38890709	51,85842385	36,22698743	22,95136379
2001	36,45324677	33,12730747	88,40990212	58,6848237	61,69128651	55,83047576	80,94025235	96,276761	138,6423134	28,36322777	63,96603653	59,14855055
2002	29,12855219	68,61591355	31,06808871	43,12753289	62,54768289	65,33337137	91,1016425	132,2336286	72,33214429	67,26813615	99,47395328	67,38424887
2003	54,60619878	12,1173869	14,5473481	35,95304409	45,0792344	33,63037098	105,8950461	8,79907646	19,9165337	44,86799221	19,86551349	33,30755299
2004	79,57148776	42,24562553	39,50977455	36,49520566	60,67800601	70,15562376	58,96949794	55,17864386	34,81912418	36,74078109	89,57099943	31,62574878
2005	66,83444954	58,64524857	27,34231914	27,97365199	61,5811335	51,64909943	118,6027483	68,73274329	45,2275277	20,70331784	32,23729058	62,67929379
2006	24,32203251	41,81194294	75,3951148	48,61640873	60,10389636	46,28348192	42,99498029	102,0274162	11,10410634	47,76858914	40,3211114	27,53829852
2007	85,07918472	46,95367813	42,47522336	4,676341614	75,12187972	87,6822516	76,68876397	55,79280492	83,51325913	20,28036184	68,7866256	26,97992178
2008	51,50412991	22,98450395	63,73143284	81,62021241	54,48532061	40,79341905	83,30512006	84,62761958	44,78836033	67,1324702	32,18937046	47,96647972
2009	26,41773161	61,07687965	70,86897161	13,6175156	100,4519588	101,2310943	83,88948515	47,5597355	23,74267593	65,20176081	41,6870119	66,69234967
2010	63,43984679	24,25766099	40,00425452	30,52854525	100,1534491	39,76011411	87,4552694	188,3163543	111,5789431	7,392882694	72,7021749	86,14302057
2011	54,00657614	12,78853477	30,70878621	27,90117375	39,30330477	51,90372114	123,5439863	54,76665599	37,26482153	43,66588613	1,433134118	59,47732823
2012	86,39096914	38,65694974	16,79205977	48,62737504	28,39374532	58,2928668	89,63632749	91,872209	34,9683777	46,33235713	67,04544578	65,15884787
2013	62,7608306	58,35247169	34,93690514	42,02795095	93,46199517	115,9982652	50,01783875	40,05861177	49,12185701	49,79848376	43,14041148	21,03471852
2014	33,05292063	8,5330006	35,66360488	38,17367442	92,75388494	38,82026452	81,92253381	53,39670302	74,8531812	40,71092785	20,95508691	49,00836978
2015	60,03284509	9,763241508	51,55801631	34,47437336	42,13380822	55,10139488	32,73534846	100,0680954	33,25462354	69,76461498	75,99997495	24,01781051
2016	45,59564671	64,78452618	41,60547203	57,33203853	36,92865488	99,1301542	81,38656046	39,70050644	45,59183576	68,1276315	29,33740685	39,47830638
2017	41,31603141	32,38678046	43,59674539	47,53017268	37,49418304	63,03214788	84,09928321	92,20219225	70,53852626	83,5571365	59,46207182	49,00884556
