	SM1	SM2	SM3	SM4	SM5	SM6	SM7	SM8	SM9	SM10	SM11	SM12
1985	10,80567	11,88319	20,41552	30,84311	30,79846	30,22061	28,58425	30,91615	29,53777	29,00402	25,80658	24,01454
1986	12,78357	11,9935	21,58246	30,84788	30,01623	29,80021	27,1489	31,01615	30,6192	30,40479	30,61362	16,4814
1987	11,71455	10,69342	12,21659	30,13614	31,20743	31,68777	30,11604	31,29979	30,33588	29,85061	30,53232	15,27636
1988	17,66593	17,40607	17,91061	30,29451	27,18995	29,47203	30,64012	29,76917	30,59862	29,87982	24,26387	25,28074
1989	13,73978	21,71264	30,86836	30,86895	28,75729	28,49393	28,52232	27,86545	29,65747	30,12985	24,37634	21,38137
1990	15,05205	26,90851	30,66077	30,74423	28,7845	29,32322	25,88605	23,66496	28,0145	28,88022	29,89871	13,54747
1991	14,3126	12,16549	29,15741	30,54139	30,95008	30,0218	27,96108	28,26479	26,62222	27,89433	27,85919	13,00321
1992	12,37037	12,80024	30,96891	30,74695	27,50696	27,17917	27,11366	20,91418	23,71821	26,53449	29,06014	15,96766
1993	20,01165	13,1431	23,78681	29,01942	25,87078	27,18289	28,83216	25,43202	29,06548	29,58226	22,27847	22,55445
1994	18,04005	13,90352	31,50225	31,07434	29,45472	26,20225	20,92141	23,28683	27,46116	27,81527	29,1785	19,61145
1995	14,75355	25,98419	28,94991	31,20794	29,84672	31,67682	25,81199	22,80858	31,2701	29,66839	27,14666	15,47613
1996	15,0355	14,51534	17,32385	28,90674	31,68976	28,07159	30,29286	29,17688	30,72451	30,86711	27,56459	12,6343
1997	12,27503	17,40838	30,64777	30,71312	29,29992	28,63588	31,35998	27,77503	27,2039	28,77151	23,12695	13,12885
1998	17,46014	23,33739	29,76562	30,4332	27,31308	29,28804	29,58606	26,17755	30,84307	31,79476	24,04666	13,33154
1999	14,06359	11,66786	28,86376	30,98519	29,44336	29,84063	28,82581	25,11843	26,90242	29,87212	21,79229	19,85779
2000	12,44982	22,20258	32,04233	30,74199	27,37314	24,91124	27,6727	26,91467	27,97292	29,87703	30,76159	21,97914
2001	10,71707	14,45388	27,04447	31,55551	29,59779	29,93013	28,58674	28,67308	32,27542	30,5236	23,77756	11,85182
2002	12,67548	29,07568	31,04859	30,72969	29,99783	29,12553	28,53983	30,63215	30,75953	31,61274	31,42058	13,43643
2003	10,31669	9,413131	23,4769	28,95994	28,29766	21,41006	21,92148	18,14761	21,05772	27,02453	28,00755	17,74661
2004	9,351183	16,24474	23,25957	29,46404	28,65678	28,62949	26,47791	22,50706	23,72566	28,39741	29,41746	13,60567
2005	17,155	11,89104	20,35347	29,3912	29,56113	26,01698	29,111	28,92035	27,71667	28,54846	23,45916	13,37542
2006	11,86873	11,56009	13,9672	31,85427	29,37331	27,44816	22,88317	28,8488	26,42942	28,66546	30,79976	23,39884
2007	25,66599	28,82321	31,26974	27,97261	27,26568	27,0383	25,59204	23,68653	28,1641	29,8211	23,56871	17,88947
2008	17,05904	24,16847	30,7162	31,54231	29,69695	27,62835	25,37466	25,82254	28,36675	29,73947	31,02678	18,20395
2009	10,18896	10,45473	24,65899	29,21967	28,50968	30,18042	30,43526	25,64664	25,31298	30,36554	30,83243	17,16165
2010	10,85213	10,78104	20,71348	30,46673	31,44187	29,26277	27,19365	31,80997	31,31094	30,6544	29,21067	25,71038
2011	31,16928	26,89651	26,91262	30,15902	28,3947	24,67175	26,84702	28,9672	27,53558	29,00363	25,70338	22,81491
2012	17,54641	12,37782	28,54243	29,93222	26,02664	26,4613	29,35739	25,09632	27,65863	29,1258	30,58197	15,00866
2013	17,31548	13,89843	14,76898	26,90639	31,27386	31,68951	27,45454	27,87962	29,9821	30,51764	28,35897	16,89072
2014	16,16141	22,50808	30,34768	30,15712	30,85077	27,25806	27,93128	29,00828	31,45407	30,42494	29,50726	21,3134
2015	17,25694	17,70405	29,99139	29,95255	29,46785	27,73289	22,31272	21,83079	24,2846	28,31105	27,93806	29,51898
2016	12,07238	27,92914	30,18682	30,73966	27,8834	29,4428	28,65371	28,61636	27,05144	30,8344	26,54885	14,90986
2017	15,30499437	17,15849042	25,6866457	30,47480441	28,92558842	26,68463718	28,99276226	28,08257205	30,17912811	30,54101966	28,01608291	17,86876973
