	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
1985	-1,291364275	-0,884112569	-0,597854269	0,091377211	-0,09496799	0,429770754	0,207632562	0,51461037	0,280979409	-0,591381527	-0,239261374	-0,783995816
1986	0,186514742	0,940370694	0,281484766	0,009349764	0,128683204	-0,228351075	-0,617272305	0,004416712	-0,282686915	0,463957921	0,725918128	0,946354276
1987	1,580440276	1,990954533	2,373732834	1,584998144	1,26164049	1,459443618	1,444913892	2,155181392	1,845418834	1,110864194	0,868505923	-0,187242244
1988	-0,776368402	0,600622866	1,426030528	0,54504355	-0,202138221	-0,358135819	-0,262599884	0,183272635	0,766528112	0,417853141	0,164367091	0,770879964
1989	0,368943638	0,327301679	-0,512347636	-0,967460433	-1,047939546	-0,75172674	-0,759146329	-1,12751168	-0,18464502	-0,348247363	0,188678007	0,563350295
1990	-0,789028887	-0,530060093	-1,630103307	-1,03515204	-1,384631353	-1,101959415	-1,142934739	-1,486282441	-0,682801747	-0,765708306	0,309731182	0,559809982
1991	0,01648573	-0,464696414	-1,550915199	-1,248334708	-0,386530992	1,048737654	0,508699015	0,092922805	-0,563328458	-1,630042256	-1,075383869	-0,26789126
1992	0,254208055	0,709519895	1,095246208	0,29661888	-0,652231995	-0,532505645	-0,533085416	-1,11443702	-0,761935169	-0,219902891	-0,707001371	-0,058145331
1993	0,260783572	-0,669802069	-1,063241923	-1,411079734	-1,668240807	-1,040991351	0,297279769	0,426600689	1,319021618	0,946486145	0,601284935	1,546373473
1994	1,411705785	1,45293502	1,584998265	0,886610118	0,812421693	0,312383694	-1,289664993	-0,927561491	-0,920610879	-0,600440319	0,11857521	-0,288168412
1995	-0,023189343	-0,036634783	0,815839079	1,111912501	1,161800154	2,025852231	1,328604963	0,785235435	1,118152354	-0,218163217	0,526247697	0,848835022
1996	-1,070710936	-0,300987543	-0,851897802	-1,232920851	-0,044178845	-0,086027248	0,516594026	0,84094353	0,752553745	0,742436496	0,046965149	-0,175696532
1997	-1,175591618	-0,855026735	-0,679111657	0,135775152	0,053162042	-0,054080763	1,18527736	0,273712137	0,182293298	0,350285597	-1,076813327	-0,395711354
1998	-0,133910298	-1,492510629	-0,391301539	-1,163143759	-1,522347755	-0,611264887	-0,548097307	-0,653442956	0,841319989	1,350096602	1,528144051	1,872110045
1999	1,17810937	0,474250649	-0,389368527	0,029410565	-0,076402931	0,211978109	0,106550701	-0,433299699	-0,488726356	-1,232435746	-1,311520656	-1,164349823
2000	-0,591460067	0,213854682	2,173824635	1,40474439	0,336760807	-0,812985799	-1,011294346	-0,658574929	-0,174204352	0,485927083	-0,541122867	-0,815911362
2001	-1,326024218	-1,571466961	0,13090714	1,196975631	0,969076148	0,989833716	0,246419371	0,201397007	1,601480973	1,216501576	1,644012514	1,732003559
2002	-0,152611925	1,260692535	-0,006589154	-0,445033159	-0,44695457	-0,912001813	-0,341075709	0,373353458	0,959195717	1,400412511	2,060913322	1,932338562
2003	2,132545617	1,902158206	-0,526199923	-1,205252807	-1,728837699	-2,125354492	-1,195856797	-1,846489014	-1,883416365	-1,085473928	-2,00548946	-1,347302414
2004	0,177666962	-0,263999156	0,412436888	0,246989894	-0,510371839	-0,322751436	-0,372380462	-0,48338853	-0,741788055	-0,956816429	-0,202866773	0,00417152
2005	0,860532855	2,022575195	0,415943753	0,004185067	-0,583023365	-1,243240584	-0,261531203	0,239577275	0,169995851	0,050118751	-0,794025872	-0,760157695
2006	-1,075447749	-0,083882488	1,250651137	0,7081851	0,813133029	-0,065172016	-1,607875632	-0,962386641	-1,518741253	-1,218792763	-0,554585078	-2,04052015
2007	-0,509234594	-0,484093609	-0,43430485	-1,14173801	-1,487340938	-1,347222629	-0,992202884	-0,379959241	0,311150037	0,037146471	0,511360178	0,592803513
2008	-0,277104161	-0,53305464	-0,722771644	0,68879707	0,209707943	-0,074924478	-0,215424517	-0,573294746	-0,314778393	0,591813112	0,320914771	0,117307762
2009	-0,269923242	-0,341938183	0,78178899	-0,691442856	0,366536915	0,657149406	0,362071734	0,682713163	-0,308801706	-0,539540926	-0,961391061	-0,020131999
2010	1,287177264	0,74686946	0,761440128	-0,33115659	0,205217592	-0,220121318	-0,237219707	1,704670796	1,848822381	1,818825471	2,395903162	1,731603532
2011	1,119122173	1,620448095	0,368334773	-1,466770625	-1,806728086	-1,768169073	-0,495774896	-0,229932639	-0,097440619	0,244322286	-1,333176579	-1,232127835
2012	-0,001087978	0,187565362	0,170937053	-0,000399376	-1,599333356	-1,767680093	-0,88809691	-0,681495218	-0,13610288	0,184972158	0,336855159	0,575620922
2013	1,429611535	2,255263891	1,765148685	1,01927299	1,152813955	1,401387157	0,593885235	0,177644981	-0,232425532	-0,88330204	-0,539316644	-0,607057733
2014	-1,243476821	-2,247861106	-2,295006761	-1,996300278	-1,057174547	-0,873375587	-0,493132679	-0,326418557	-0,491996959	-0,204411307	-0,647259992	-0,680532493
2015	-1,133398694	-1,709599544	-0,721619426	-0,830211818	-1,224077667	-0,859150469	-1,541489829	-1,251332382	-1,192621481	-0,684138643	0,525909337	-0,094880497
2016	0,355844438	0,104347369	-0,623907746	0,615952876	-0,282361417	-0,144072372	-0,00561704	-0,629940611	-0,463661653	-0,381551022	-0,698582894	-0,402169329
2017	0,099459612	-1,020056676	-0,922180911	-0,558839496	-1,132127793	-1,225064401	-0,765655551	-0,596268833	0,325636216	1,039692577	1,305378018	1,211159265
