	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
1985	3,537968076	6,218238436	9,275091584	14,96802426	16,93643786	16,30207519	18,72008254	15,33916325	10,72314207	7,044414963	3,743231314	2,192389098
1986	3,308367855	7,250638871	9,499248006	14,25584728	17,37674512	18,76619471	17,30885775	14,37336929	9,210726669	7,514182778	4,030791981	2,416865743
1987	3,380418134	5,177191968	10,45415436	14,3147684	15,6087914	15,83743095	17,40716635	13,89687678	10,77918118	7,632345235	2,625651439	2,104327646
1988	3,078447411	5,589960007	9,277973596	16,30655832	19,34579918	16,57682692	17,79911986	15,98057084	9,511736721	6,342485138	3,459833552	1,937171
1989	3,572231986	6,01777855	10,34527839	13,77006829	20,46049704	19,36052946	17,31141953	15,54282537	9,682415825	7,071313733	3,960022596	2,690336578
1990	3,366008078	6,88686502	10,09902655	14,32309421	21,20853904	17,94578221	17,90031048	16,60052345	9,78744912	8,114921989	2,751819482	2,471623955
1991	3,19308741	7,202925575	9,17005829	15,24950068	15,67860011	18,49528567	19,0226937	14,81912035	12,3396301	8,086422101	3,349356458	2,591067305
1992	3,056672216	5,678982129	10,08301537	15,02822627	19,39479337	19,27823203	18,91189639	16,70779831	11,93134518	6,760696977	3,561984836	2,671443394
1993	3,390665285	6,733157759	11,06225871	16,6994725	19,43962465	17,81224903	17,43886847	17,001123	10,74843972	7,040252058	3,436777463	2,587224624
1994	3,191486293	6,050121119	8,401201762	13,92633734	17,65341819	20,26003715	21,53836921	16,60596725	10,77053514	7,800782775	3,596248746	2,504286748
1995	3,212300817	5,612055426	10,62355257	13,21448059	18,53755516	16,05358178	21,38434172	17,49843004	10,66934453	7,240711943	3,307727409	2,394770324
1996	3,578956679	6,489467706	10,59857514	16,2940696	14,53220013	18,84272812	16,83012367	15,45540436	8,686520865	6,052362684	3,257772549	2,764308197
1997	3,460153775	5,841335424	10,12112197	15,41153375	19,44698979	19,16935605	16,08720525	17,22239741	12,62687054	7,383211383	3,613540813	2,267001164
1998	3,212621041	5,60501051	10,24408777	14,33077957	19,18824923	17,97011919	16,18455318	16,60916949	8,75729025	5,059669958	3,453429083	2,713072443
1999	3,443181932	5,194484034	9,758629009	15,14222582	19,56130956	15,38879788	18,11325908	16,01355385	11,82695234	6,272356201	3,531563607	2,506528312
2000	2,884712218	5,458988612	8,060804224	15,89475095	20,70546799	21,50442552	14,18603857	16,92555027	10,9309671	5,682504587	3,884129636	2,717875795
2001	3,113031545	6,245777653	7,959293388	14,05346605	18,85137415	17,73251338	18,25159561	15,17520883	7,592317302	6,551270834	3,23471646	2,406618592
2002	3,503704166	5,634471068	10,05867839	14,31092572	17,26306579	19,10242935	17,48401998	16,21337329	11,1426348	5,843576988	3,102784394	2,75438127
2003	2,90712786	7,671412497	11,38632486	17,13401574	19,63496096	22,57717411	18,6867793	19,24044566	12,72613981	6,610191951	4,004213434	2,633977249
2004	3,428131429	5,296635318	9,708033702	15,52617375	17,37482378	18,5871898	19,33074867	17,1375382	12,47220261	7,582710599	2,838279816	2,541432669
2005	3,438058357	5,843576988	11,4129034	16,49324859	19,38038331	19,8443871	17,49843004	15,78939743	13,2788455	8,573802207	3,718574108	2,095361389
2006	3,874202709	5,873677993	10,00039772	15,43907296	19,24717035	21,14769659	22,922375	14,48704862	13,37587321	7,415553953	3,663815896	2,57857859
2007	2,870302162	5,30976448	10,32606498	19,2532546	20,03876274	20,04484699	19,25421527	16,39814223	10,21110476	6,351451395	3,216463722	2,668881606
2008	3,069801378	5,8669533	10,72666453	13,53470405	19,66730353	21,08749457	18,51385863	15,30650045	11,17593804	6,518608041	3,633714891	2,313433565
2009	3,320536347	4,960080462	8,453077963	19,19945705	17,73059204	17,48626154	19,35412499	18,32428634	11,48847614	5,771846933	3,90206215	2,304467309
2010	3,525799585	6,265311284	10,96491078	17,54101976	13,54847366	20,1255433	20,33080654	13,8562084	10,48169358	7,709198865	3,044183501	2,464258815
2011	3,175795343	6,687686028	11,75266049	16,367721	21,36384742	20,19727336	16,47083295	15,75833575	12,21154071	7,265689373	4,379515329	2,377798481
2012	3,228952437	5,721251626	11,0443262	16,03917173	20,49668229	18,43988701	19,35060253	17,90767562	12,32041669	6,447838657	3,047705959	2,650949092
2013	2,83956071	5,062551969	9,760230126	13,23753668	15,1201304	17,78086713	21,89509814	16,68826468	9,509495157	7,860664562	2,850128084	2,614123394
2014	3,35415981	7,090847364	11,05745536	15,96968324	16,73149485	20,86846173	20,13194777	15,55787587	10,58608643	6,718747704	3,220626627	2,158125187
2015	2,703145516	6,576888711	10,86628196	16,98030848	18,80045862	19,10883382	20,54663715	17,17660546	12,00755837	6,309502122	4,061533433	2,473545295
2016	3,087093445	5,425685373	9,510776051	15,46212905	19,2532546	19,54753996	18,84464946	16,23835072	12,75303858	5,220101911	3,670220365	2,501084513
2017	3,737787515	6,044997544	9,900167778	13,60355209	19,4293775	21,83553658	18,77708231	17,60154199	10,34784018	6,270755083	2,91545367	2,512292334
