	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
1985	-6,1301	-3,2053	3,9318	8,9264	15,5886	15,1602	19,3889	18,778	14,8689	9,6601	1,7859	3,612
1986	-0,1545	-6,336	4,2859	9,6671	16,6619	17,5735	19,5881	18,7679	12,8725	10,1946	5,5413	1,446
1987	-6,6506	-0,4842	0,2972	9,8319	11,9049	15,9227	18,8955	16,6393	15,8178	10,2069	5,4345	2,3198
1988	2,8827	2,7087	3,2189	9,4619	16,1187	16,8822	18,9124	18,2555	14,6831	10,4533	1,9662	3,2678
1989	1,489	3,7747	7,2765	9,566	15,1154	17,0514	19,5768	19,2325	16,011	10,9244	2,5296	2,383
1990	1,7516	5,4171	7,9324	8,5819	15,8328	17,514	18,6384	20,2727	12,9423	10,2336	5,2548	0,9244
1991	1,8799	-3,3258	6,3603	8,1152	10,5232	15,4328	20,7896	19,3928	16,4049	9,1676	4,0306	0,2271
1992	1,7765	3,4203	5,0935	8,9839	15,5235	19,2803	20,3922	22,4591	15,111	7,8756	4,8885	0,3961
1993	1,922	-1,3103	4,0496	11,3642	17,6602	17,1928	17,6352	18,3389	13,7028	8,8221	1,0321	3,7136
1994	3,5737	0,35	6,9026	8,9228	13,7473	17,6472	23,8806	19,917	15,1406	7,8966	7,1508	3,0272
1995	0,4009	4,937	4,1823	9,7403	13,617	15,7725	21,9012	20,2889	14,0824	11,6042	2,3522	-0,7955
1996	-2,5425	-2,0162	1,3519	9,4252	13,2269	17,3663	17,0182	18,5928	11,82	10,8357	5,7474	-3,8008
1997	-3,7364	3,831	5,5005	6,7001	14,8242	17,718	18,5891	21,1848	15,2701	8,1714	4,1936	2,6354
1998	2,2571	5,1842	5,1072	11,1028	15,9554	19,0483	18,8568	19,2303	14,3753	9,9386	2,3785	0,6737
1999	1,614	0,6408	6,334	10,1452	15,2226	16,7306	20,6231	19,3596	18,4237	10,0602	3,5848	2,3372
2000	0,5759	4,2465	5,6289	12,3156	16,8764	19,5542	17,3584	20,6682	14,9502	12,3124	6,487	2,3956
2001	0,5362	2,0512	4,5975	8,179	15,6518	15,7555	20,0813	20,3721	12,9906	12,9069	3,6842	-0,6159
2002	1,2564	5,3209	5,7231	9,2053	16,8681	19,2525	20,5659	21,4491	14,5178	9,0363	5,7575	-1,309
2003	-0,1999	-1,2349	5,6715	9,2549	16,8182	21,5476	20,607	22,4637	16,1176	7,2255	6,3467	1,7286
2004	-1,8498	3,2496	5,187	11,0225	13,4366	17,4243	19,6358	21,0221	15,5646	10,9038	5,3827	1,2243
2005	2,2732	-0,4484	3,9839	11,316	15,4221	18,3956	20,1438	18,2119	16,8872	11,5143	4,008	1,0493
2006	-3,2501	-0,2305	2,604	10,0617	14,9801	19,5969	24,8619	17,686	18,3889	12,1649	7,3288	4,0737
2007	5,3026	4,7677	7,2929	12,7494	16,8722	20,3575	20,2152	20,0199	13,6802	9,0997	3,7117	1,3127
2008	3,2253	4,6473	5,1471	9,3048	15,498	19,6133	20,0772	19,7495	14,1725	9,7652	6,1388	2,605
2009	-2,7924	1,1141	5,6385	14,0291	15,1543	16,5696	19,8319	21,13	17,2288	9,2467	7,0589	0,4939
2010	-3,7523	-0,602	5,1005	9,9618	13,0644	18,39	22,8891	18,8382	13,2724	7,9331	6,3239	-4,4214
2011	0,7917	-0,1338	5,7507	12,6776	15,2834	18,9919	18,3647	19,8109	16,928	10,2521	4,1895	4,1722
2012	2,4804	-2,5831	7,4698	10,0764	17,0124	18,5774	20,3594	20,9106	15,2695	9,1092	5,9979	0,669
2013	-0,1532	0,5164	1,0321	9,9979	13,8222	17,5958	21,4251	19,7586	14,2353	10,9741	5,8465	3,0755
2014	1,5463	3,9121	8,3575	11,9502	13,9891	18,2352	22,0661	18,4878	16,3445	12,0315	7,6352	4,0348
2015	3,2194	2,0041	6,3941	9,699	14,2935	17,8822	22,2896	23,6008	15,0629	9,7877	7,8386	5,8907
2016	0,4043	4,6923	5,3477	9,2499	15,5609	19,2137	20,5815	19,2914	18,7061	9,6243	4,3192	1,7269
2017	-2,4781	3,0514	7,8847	8,904	15,8905	20,3072	20,4449	20,4418	13,851	11,618	5,7899	2,9635
