Num	Code	Species	Site_category	Latitude	Longitude	DBH	AGE
1	01NS	PISY	north slope	50,583154	14,432447	33,08	65,88
2	02PL	PISY	plateau	50,583294	14,43426	35,01	128,41
3	03SS	PISY	south slope	50,580903	14,436868	36,91	78,81
4	04PL	PISY	plateau	50,569243	14,440444	34,29	128,35
5	05PL	PISY	plateau	50,574326	14,436028	35,62	148,38
6	06VA	PISY	valley	50,570809	14,432219	37,71	73,27
7	07NS	PISY	north slope	50,574482	14,433891	31,02	118,23
8	08SS	PISY	south slope	50,599173	14,451654	25,31	125,94
9	09NS	PISY	north slope	50,596338	14,447048	34,88	78,73
10	10NS	PISY	north slope	50,572665	14,455987	22,53	122,22
11	11PL	PISY	plateau	50,567282	14,458482	21,71	158,56
12	12NS	PISY	north slope	50,57463	14,457303	37,34	149,62
13	13PL	PISY	plateau	50,579373	14,453595	33,51	138,48
14	14VA	PISY	valley	50,58407	14,460131	46,30	119,31
15	15SS	PISY	south slope	50,583267	14,447297	39,38	94,50
16	16SS	PISY	south slope	50,587257	14,440833	42,12	143,50
17	17VA	PISY	valley	50,590041	14,454068	42,43	110,00
18	18VA	PISY	valley	50,588811	14,45881	43,23	61,04
19	19SS	PISY	south slope	50,577946	14,454158	35,82	144,04
20	20VA	PISY	valley	50,595737	14,452868	42,22	94,73
21	21SS	PCAB	south slope	49,184294	13,24032	46,60	111,08
22	22SS	PCAB	south slope	49,198471	13,24376	54,21	123,08
23	23PL	PCAB	plateau	49,201473	13,248555	44,46	93,28
24	24VA	PCAB	valley	49,22112	13,249751	47,16	179,96
25	25PL	PCAB	plateau	49,215391	13,243904	38,21	101,54
26	26NS	PCAB	north slope	49,211255	13,260087	40,46	160,27
27	27PL	PCAB	plateau	49,186427	13,285707	46,62	117,54
28	28NS	PCAB	north slope	49,193996	13,266417	40,35	101,35
29	29SS	PCAB	south slope	49,178167	13,257786	47,35	118,04
30	30PL	PCAB	plateau	49,183504	13,256809	34,94	113,20
31	31NS	PCAB	north slope	49,206101	13,227974	51,63	99,43
32	32SS	PCAB	south slope	49,187113	13,271311	44,33	108,17
33	33NS	PCAB	north slope	49,19193	13,286154	44,78	123,40
34	34NS	PCAB	north slope	49,200382	13,272748	51,37	94,42
35	35VA	PCAB	valley	49,195968	13,276581	35,66	150,12
36	36VA	PCAB	valley	49,196379	13,282692	42,31	103,38
37	37PL	PCAB	plateau	49,203006	13,28631	40,13	87,42
38	38SS	PCAB	south slope	49,211954	13,231562	55,04	132,84
39	39VA	PCAB	valley	49,181807	13,292969	37,91	100,80
40	40VA	PCAB	valley	49,2160037	13,2833009	44,23	66,88
