	01NS	02PL	03SS	04PL	05PL	06VA	07NS	08SS	09NS	10NS	11PL	12NS	13PL	14VA	15SS	16SS	17VA	18VA	19SS	20VA	21SS	22SS	23PL	24VA	25PL	26NS	27PL	28NS	29SS	30PL	31NS	32SS	33NS	34NS	35VA	36VA	37PL	38SS	39VA	40VA
1985	0,661	0,647	0,665	0,608	0,509	0,642	0,611	0,670	0,548	0,627	0,588	0,692	0,698	0,692	0,699	0,661	0,636	0,663	0,707	0,653	0,741	0,728	0,795	0,775	0,754	0,738	0,720	0,738	0,766	0,731	0,776	0,771	0,704	0,740	0,723	0,741	0,746	0,772	0,723	0,774
1986	0,688	0,656	0,672	0,601	0,562	0,668	0,625	0,669	0,612	0,660	0,593	0,658	0,684	0,697	0,697	0,656	0,642	0,677	0,684	0,667	0,781	0,753	0,741	0,728	0,719	0,762	0,725	0,703	0,741	0,719	0,747	0,759	0,714	0,725	0,690	0,756	0,736	0,743	0,734	0,736
1987	0,693	0,681	0,698	0,634	0,633	0,649	0,659	0,699	0,733	0,663	0,596	0,689	0,692	0,735	0,701	0,687	0,670	0,687	0,709	0,720	0,707	0,688	0,795	0,751	0,765	0,735	0,756	0,743	0,768	0,747	0,608	0,756	0,717	0,755	0,716	0,764	0,648	0,750	0,751	0,763
1988	0,699	0,674	0,694	0,647	0,642	0,664	0,646	0,672	0,629	0,653	0,602	0,697	0,659	0,733	0,693	0,666	0,674	0,672	0,709	0,690	0,760	0,755	0,754	0,736	0,741	0,758	0,711	0,715	0,782	0,734	0,753	0,783	0,753	0,732	0,739	0,658	0,775	0,766	0,710	0,769
1989	0,679	0,636	0,656	0,571	0,555	0,625	0,564	0,644	0,484	0,562	0,565	0,670	0,624	0,663	0,674	0,616	0,643	0,640	0,637	0,678	0,739	0,717	0,710	0,741	0,729	0,722	0,737	0,722	0,788	0,705	0,747	0,771	0,720	0,744	0,700	0,749	0,758	0,740	0,736	0,723
1990	0,643	0,634	0,633	0,578	0,589	0,616	0,595	0,635	0,465	0,563	0,569	0,640	0,635	0,677	0,653	0,629	0,649	0,638	0,679	0,677	0,681	0,740	0,771	0,792	0,749	0,688	0,764	0,699	0,752	0,628	0,776	0,801	0,752	0,671	0,638	0,701	0,757	0,684	0,756	0,775
1991	0,720	0,704	0,682	0,633	0,658	0,670	0,649	0,708	0,628	0,600	0,622	0,703	0,669	0,711	0,719	0,672	0,664	0,671	0,695	0,706	0,720	0,733	0,768	0,748	0,778	0,747	0,690	0,760	0,801	0,747	0,766	0,728	0,653	0,784	0,746	0,786	0,778	0,781	0,645	0,779
1992	0,626	0,624	0,647	0,580	0,618	0,613	0,593	0,629	0,545	0,600	0,577	0,646	0,651	0,674	0,652	0,639	0,617	0,628	0,670	0,631	0,680	0,670	0,710	0,700	0,688	0,660	0,673	0,663	0,732	0,702	0,680	0,704	0,677	0,688	0,654	0,697	0,696	0,703	0,702	0,669
1993	0,688	0,667	0,682	0,622	0,655	0,651	0,656	0,647	0,583	0,640	0,610	0,685	0,685	0,714	0,682	0,646	0,666	0,680	0,717	0,674	0,664	0,690	0,703	0,717	0,743	0,752	0,727	0,653	0,789	0,744	0,726	0,787	0,654	0,671	0,618	0,770	0,768	0,696	0,751	0,790
1994	0,651	0,630	0,659	0,598	0,623	0,654	0,614	0,632	0,577	0,623	0,589	0,678	0,658	0,676	0,653	0,630	0,616	0,614	0,694	0,648	0,700	0,739	0,771	0,725	0,705	0,692	0,711	0,678	0,758	0,689	0,723	0,741	0,681	0,695	0,674	0,715	0,708	0,711	0,719	0,724
1995	0,669	0,643	0,689	0,629	0,662	0,665	0,646	0,696	0,502	0,653	0,631	0,698	0,692	0,688	0,691	0,656	0,655	0,666	0,709	0,647	0,728	0,726	0,741	0,693	0,661	0,644	0,718	0,654	0,767	0,726	0,754	0,701	0,709	0,752	0,689	0,707	0,684	0,710	0,686	0,736
1996	0,722	0,687	0,705	0,650	0,658	0,687	0,687	0,711	0,572	0,664	0,638	0,732	0,710	0,740	0,723	0,694	0,695	0,697	0,732	0,686	0,693	0,651	0,785	0,749	0,758	0,751	0,703	0,739	0,771	0,717	0,791	0,753	0,761	0,744	0,711	0,783	0,767	0,741	0,718	0,754
1997	0,725	0,713	0,736	0,643	0,663	0,665	0,669	0,715	0,613	0,699	0,632	0,737	0,711	0,737	0,714	0,690	0,677	0,700	0,756	0,703	0,748	0,740	0,601	0,737	0,760	0,716	0,699	0,690	0,736	0,695	0,761	0,739	0,714	0,728	0,661	0,737	0,735	0,735	0,723	0,756
