	01NS	02PL	03SS	04PL	05PL	06VA	07NS	08SS	09NS	10NS	11PL	12NS	13PL	14VA	15SS	16SS	17VA	18VA	19SS	20VA	21SS	22SS	23PL	24VA	25PL	26NS	27PL	28NS	29SS	30PL	31NS	32SS	33NS	34NS	35VA	36VA	37PL	38SS	39VA	40VA
1985	0,680	0,657	0,670	0,624	0,506	0,680	0,645	0,670	0,668	0,642	0,599	0,697	0,702	0,696	0,706	0,673	0,658	0,684	0,710	0,665	0,741	0,728	0,788	0,774	0,754	0,738	0,720	0,738	0,766	0,731	0,776	0,771	0,704	0,740	0,723	0,741	0,747	0,759	0,723	0,783
1986	0,690	0,658	0,678	0,602	0,542	0,649	0,629	0,677	0,696	0,666	0,593	0,666	0,711	0,696	0,703	0,658	0,641	0,674	0,684	0,675	0,758	0,776	0,787	0,762	0,691	0,743	0,677	0,648	0,758	0,694	0,726	0,783	0,708	0,709	0,710	0,731	0,753	0,755	0,737	0,763
1987	0,693	0,681	0,699	0,634	0,633	0,649	0,658	0,699	0,732	0,664	0,596	0,689	0,692	0,735	0,701	0,686	0,670	0,687	0,708	0,720	0,763	0,771	0,795	0,787	0,793	0,769	0,751	0,743	0,784	0,743	0,785	0,787	0,755	0,796	0,751	0,795	0,774	0,788	0,762	0,817
1988	0,719	0,698	0,726	0,659	0,678	0,697	0,675	0,716	0,679	0,697	0,633	0,730	0,745	0,750	0,738	0,679	0,703	0,686	0,736	0,726	0,760	0,755	0,754	0,736	0,742	0,758	0,711	0,715	0,782	0,734	0,753	0,783	0,753	0,733	0,739	0,658	0,776	0,767	0,710	0,769
1989	0,679	0,642	0,676	0,570	0,555	0,617	0,529	0,648	0,586	0,559	0,571	0,650	0,577	0,676	0,667	0,616	0,650	0,642	0,626	0,669	0,700	0,712	0,699	0,722	0,725	0,718	0,746	0,725	0,784	0,702	0,753	0,773	0,707	0,752	0,704	0,735	0,753	0,747	0,736	0,747
1990	0,677	0,635	0,668	0,617	0,619	0,655	0,606	0,648	0,457	0,582	0,585	0,691	0,660	0,695	0,678	0,644	0,659	0,665	0,691	0,688	0,681	0,740	0,771	0,792	0,749	0,688	0,764	0,699	0,752	0,628	0,776	0,801	0,752	0,671	0,638	0,701	0,757	0,685	0,756	0,775
1991	0,731	0,679	0,671	0,606	0,645	0,655	0,638	0,707	0,644	0,607	0,613	0,676	0,664	0,686	0,693	0,655	0,651	0,681	0,693	0,698	0,719	0,733	0,768	0,748	0,778	0,747	0,690	0,760	0,801	0,747	0,766	0,728	0,653	0,784	0,746	0,786	0,778	0,782	0,644	0,778
1992	0,674	0,647	0,678	0,616	0,644	0,648	0,632	0,657	0,560	0,617	0,582	0,680	0,654	0,702	0,677	0,662	0,649	0,655	0,709	0,696	0,703	0,696	0,748	0,721	0,695	0,673	0,697	0,662	0,742	0,685	0,728	0,717	0,688	0,707	0,693	0,709	0,701	0,696	0,718	0,711
1993	0,710	0,689	0,707	0,650	0,681	0,689	0,695	0,665	0,639	0,659	0,630	0,697	0,720	0,719	0,695	0,662	0,688	0,700	0,720	0,696	0,752	0,769	0,745	0,739	0,758	0,752	0,727	0,722	0,789	0,744	0,830	0,787	0,729	0,751	0,745	0,770	0,768	0,771	0,751	0,790
1994	0,666	0,635	0,663	0,598	0,632	0,654	0,623	0,639	0,548	0,624	0,589	0,678	0,658	0,676	0,667	0,637	0,627	0,636	0,694	0,657	0,700	0,739	0,771	0,725	0,705	0,692	0,711	0,678	0,758	0,689	0,723	0,741	0,680	0,695	0,674	0,715	0,708	0,711	0,719	0,724
